UID,WID,Understand,attempt,time,distance
60910046,58,2,1,51888,7102.98
60910046,59,4,1,17889,4196.36
60910046,60,3,1,16185,3745.81
60910046,61,3,1,48022,8848.27
60910046,67,4,1,28184,5918.11
60910046,68,3,1,40541,8824.27
60910046,76,3,1,28251,4325.67
60910046,89,3,1,165390,18966.7
60910046,92,4,1,34192,6035.87
60910046,99,3,1,39792,6182.3
60910046,127,2,1,41454,6612.95
60910046,129,2,1,34801,7173.17
60910046,138,2,1,44516,5324.85
60910046,139,2,1,45825,7701.48
60910046,141,2,1,48788,7175.75
60910046,143,4,1,13676,3284.51
60910046,147,2,1,83831,12566
60910046,160,2,1,46886,8519.45
60910046,161,2,1,71304,12239.4
60910046,162,3,1,27152,4704.6
60910046,176,3,1,34319,6271.04
60910046,181,3,1,33775,4398.03
60910046,184,2,1,42104,5763.61
60910046,186,3,1,44950,9881.63
60910046,191,4,1,18212,4142.47
60910090,22,4,1,13142,3208.43
60910090,32,4,1,16156,3476.06
60910090,45,3,1,91787,8058.66
60910090,46,4,1,26585,3029.31
60910090,54,4,1,22690,4888.4
60910090,58,4,1,72985,7265.18
60910090,59,2,1,49689,3773.1
60910090,60,4,1,51309,3929.04
60910090,61,4,1,46525,5533.86
60910090,67,4,1,26862,6181.36
60910090,68,4,1,44152,4582.43
60910090,76,2,1,180542,5323.89
60910090,89,4,1,83200,6551.11
60910090,92,3,1,91554,6368.61
60910090,99,4,1,54097,3800.16
60910090,127,4,1,129130,9702.13
60910090,129,3,1,113978,9435.31
60910090,138,2,1,119810,6427.59
60910090,139,2,1,79927,6660.47
60910090,141,2,1,162907,6267.78
60910090,143,4,1,17248,2684.94
60910090,147,2,1,225598,9295.34
60910090,160,3,1,89153,9993.35
60910090,161,2,1,127729,9405.29
60910090,162,4,1,29854,4721.35
60910090,176,3,1,62542,4371.24
60910090,181,4,1,45843,5557.54
60910090,184,3,1,97267,8219.07
60910090,186,4,1,96888,5107.54
60910090,191,4,1,36750,6082.81
60910103,22,4,1,15385,3687.71
60910103,32,4,1,20273,3760.21
60910103,45,3,1,87009,9227.59
60910103,46,4,1,25744,3920.27
60910103,54,3,1,37521,6424.86
60910103,58,2,1,146677,18747.9
60910103,59,4,1,30544,4192.83
60910103,60,2,1,53458,5426.5
