UID,WID,Understand,attempt,time,distance,totalStopTime
60911060,161,2,1,104113,13977.1,23240
60911060,162,3,1,22637,3101.93,5492
60911060,176,2,1,75616,8274.05,21530
60911060,181,2,1,107743,5983.68,16125
60911060,184,3,1,32769,6177.39,9752
60911060,186,2,1,83000,8535.22,39184
60911060,191,2,1,68957,11080.9,21015
60911072,22,4,1,16638,3633.86,4392
60911072,32,4,1,26086,4255.41,9149
60911072,45,3,1,32400,4678.17,11701
60911072,46,4,1,23140,3766.83,8117
60911072,54,4,1,30176,6802.69,7016
60911072,58,3,1,20570,4837.67,6983
60911072,59,3,1,38521,6392.18,17064
60911072,60,2,1,75183,6073.64,55932
60911072,61,4,1,21961,4890.16,7961
60911072,67,4,1,22249,4598.83,6340
60911072,68,4,1,21031,4268.18,4267
60911072,76,2,1,77060,14141.9,30649
60911072,89,4,1,24952,4474.9,9790
60911072,92,3,1,28391,5075.15,12180
60911072,99,2,1,30672,5532.53,13795
60911072,127,2,1,33033,5257.27,8536
60911072,129,2,1,45809,7252.76,19127
60911072,138,2,1,33681,5680.76,14322
60911072,139,2,1,70467,10790.8,34042
60911072,141,2,1,70216,11674.7,31124
60911072,143,4,1,13640,3183.92,3354
60911072,147,2,1,147528,19391.9,72823
60911072,160,2,1,54929,10053.1,23799
60911072,161,2,1,117157,14939.5,49875
60911072,162,2,1,38319,5778.6,14841
60911072,176,2,1,54080,8542.17,25164
60911072,181,3,1,38016,7451.84,16646
60911072,184,2,1,70181,7982.63,34795
60911072,186,3,1,29419,7520.84,10110
60911072,191,4,1,43455,7538.24,12981
90910001,22,4,1,12648,3631.6,2538
90910001,32,4,1,24247,6008.45,5894
90910001,45,3,1,50710,8384.04,10921
90910001,46,3,1,50908,6041.26,16169
90910001,54,4,1,43296,8023.56,16686
90910001,58,2,1,56560,11794,17515
90910001,59,3,1,28233,6628.38,6712
90910001,60,4,1,37090,7183.03,7878
90910001,61,2,1,66304,13000.7,16397
90910001,67,4,1,11735,2932.85,1503
90910001,68,3,1,32613,5136.87,10489
90910001,76,2,1,94912,13970.8,30630
90910001,89,4,1,26345,6516.38,5144
90910001,92,4,1,27353,7520.07,5616
90910001,99,3,1,39530,7245.3,10603
90910001,127,3,1,52459,8694.71,14806
90910001,129,3,1,27940,5191.59,9824
90910001,138,3,1,27801,5482.89,3795
90910001,139,2,1,85954,15073.8,25167
90910001,141,2,1,79002,9918.19,34659
90910001,143,4,1,11801,2834.16,2631
90910001,147,2,1,99009,15991.4,35421
90910001,160,2,1,63956,9186.94,21077
90910001,161,2,1,189415,24979.9,40446
90910001,162,4,1,16688,3632.65,5999
90910001,176,4,1,33585,6942.99,6703
90910001,181,2,1,43263,7296.68,15061
90910001,184,3,1,47542,7175.54,12896
90910001,186,2,1,58609,9998.3,12606
90910001,191,4,1,30977,5238.18,10025
90910004,22,4,1,14320,3722.5,2888
90910004,32,4,1,17979,4200.29,4066
90910004,45,3,1,22104,4973.99,5736
90910004,46,4,1,37110,7994.05,6423
90910004,54,3,1,25207,6199.14,5634
90910004,58,4,1,41295,8019.31,10414
90910004,59,4,1,16025,4412.94,2022
90910004,60,4,1,20128,3588.46,3554
90910004,61,3,1,49343,7943.23,16551
90910004,67,3,1,31395,6984.86,6745
90910004,68,4,1,19825,5364.13,2702
90910004,76,2,1,70180,11039.9,20960
90910004,89,3,1,34390,7247.76,9375
90910004,92,4,1,50008,9635.15,17578
90910004,99,4,1,26181,4892.57,7552
90910004,127,2,1,84236,15774,20875
90910004,129,3,1,28095,5486.12,9170
90910004,138,2,1,40334,6085.85,18373
90910004,139,2,1,40096,7551.25,14488
90910004,141,2,1,61049,9376.15,20941
90910004,143,4,1,15744,3516.21,1932
90910004,147,4,1,35986,6047.08,7782
90910004,160,3,1,114579,11147.5,29168
90910004,161,3,1,134867,18195.9,35842
90910004,162,4,1,15956,4044.26,4237
90910004,176,4,1,27543,5227.61,6778
90910004,181,3,1,43200,6300.52,11785
90910004,184,2,1,64907,6077.86,21189
90910004,186,3,1,67316,9445.44,17434
90910004,191,4,1,20349,5393.04,4334
90910034,22,4,1,14133,3546.91,3178
90910034,32,4,1,17639,4289.3,3780
90910034,45,3,1,38736,5846.37,17294
90910034,46,3,1,37457,6468.38,19501
90910034,54,4,1,34672,6259.17,8249
90910034,58,2,1,62581,6623.21,8739
90910034,59,2,1,53553,6337.09,23460
90910034,60,2,1,46104,5692.89,26234
90910034,61,4,1,19632,4150.42,2767
90910034,67,4,1,18627,3721.02,3614
90910034,68,3,1,52678,7144.05,23548
90910034,76,2,1,46104,5367.18,18998
90910034,89,3,1,53866,7934,18340
90910034,92,2,1,89846,9807.71,28728
90910034,99,2,1,138045,6207.12,15610
90910034,127,3,1,61162,8082.96,28664
90910034,129,3,1,33659,5991.5,12610
90910034,138,3,1,40534,7961.04,9881
90910034,139,2,1,76461,10987.4,26997
90910034,141,3,1,39080,6398.84,13695
90910034,143,3,1,32055,8288.53,7197
90910034,147,3,1,90586,8858.67,31707
90910034,160,2,1,85145,13409.5,20732
90910034,161,2,1,111867,23711.3,34406
90910034,162,4,1,12969,3166.67,2290
90910034,176,3,1,31833,6101.96,8013
90910034,181,2,1,73824,12223.7,27579
90910034,184,2,1,99220,14238.1,38998
90910034,186,2,1,64850,8828.16,24767
90910034,191,4,1,31943,6785.94,9748
90910038,22,4,1,14554,3734.22,2471
90910038,32,4,1,18634,3953.2,4355
90910038,45,3,1,36262,6098.76,16788
90910038,46,4,1,18636,4664.15,5643
90910038,54,3,1,39799,7259.93,10409
90910038,58,3,1,27760,5732.61,7549
90910038,59,3,1,61265,6632.44,29515
90910038,60,2,1,94811,10892.8,47262
90910038,61,4,1,21292,4621,4598
90910038,67,4,1,17062,2562.39,8176
90910038,68,4,1,22313,5146.05,5713
