UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,stopcount,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60911060,76,2,1,65204,7510.24,0.115181,6539.11,3359,7,18,16,4012,61192,2185,9,15223,37939
60911060,89,3,1,39458,5452.95,0.138196,4827.59,7705,2,16,7,15401,24057,2722,10,2982,11118
60911060,92,3,1,33137,5945.72,0.179428,4533.24,784,4,13,12,6682,26455,2544,9,3399,13728
60911060,99,2,1,95731,8443.99,0.0882053,7213.47,20598,10,38,17,5667,90064,2249,14,31288,66098
60911060,127,3,1,70625,8114.93,0.114902,6915.84,9412,8,26,17,22530,48095,2856,12,4910,23894
60911060,129,3,1,77353,7946.76,0.102734,6715.63,16125,12,20,16,16392,60961,1641,9,16367,28868
60911060,138,2,1,42369,6142.06,0.144966,4390.73,2707,3,18,15,3960,38409,1794,9,11782,22479
60911060,139,2,1,64470,9158.76,0.142062,8556.15,1710,8,29,19,6894,57576,6881,14,7374,33236
60911060,141,2,1,49109,6372.91,0.129771,4511.98,2048,5,21,12,5917,43192,1657,9,5455,18593
60911060,143,3,1,19431,3432.46,0.176648,2927.11,1344,4,11,9,4768,14663,912,7,1632,5765
60911060,147,2,1,154671,15395.5,0.0995369,14930.1,5671,11,30,29,42088,112583,2007,17,19360,88499
60911060,160,2,1,107144,9045.44,0.0844232,8658.91,1296,5,32,20,34994,72150,2530,12,28814,52865
60911060,161,2,1,104113,13977.1,0.134249,12848,5809,6,45,31,22577,81536,3712,15,19855,53860
60911060,162,3,1,22637,3101.93,0.137029,2545.36,1068,1,8,5,3469,19168,1576,7,2087,6338
60911060,176,2,1,75616,8274.05,0.109422,7509.66,4360,9,23,17,3568,72048,3288,11,22830,53090
60911060,181,2,1,107743,5983.68,0.0555366,4673.87,8500,5,18,8,4064,103679,2634,9,14439,21918
60911060,184,3,1,32769,6177.39,0.188513,4860.14,782,4,15,9,6808,25961,1618,9,5102,14514
60911060,186,2,1,83000,8535.22,0.102834,7557.42,27025,7,24,26,6091,76909,2763,10,37189,57861
60911060,191,2,1,68957,11080.9,0.160692,10152.8,2778,15,25,19,5431,63526,5230,16,11071,32796
60911072,22,4,1,16638,3633.86,0.218407,1926.29,704,3,10,15,4145,12493,1115,8,1255,5370
60911072,32,4,1,26086,4255.41,0.16313,3681.06,1071,7,15,18,6072,20014,1662,10,2550,9883
60911072,45,3,1,32400,4678.17,0.144388,3082.26,1715,6,23,22,2855,29545,1369,10,6055,17070
60911072,46,4,1,23140,3766.83,0.162784,1476.96,1120,5,7,8,4771,18369,1280,7,7088,11199
60911072,54,4,1,30176,6802.69,0.225434,5857.09,664,3,25,11,13563,16613,1369,9,1719,8512
60911072,58,3,1,20570,4837.67,0.235181,2089.95,1905,12,11,10,3857,16713,1209,9,3237,9545
60911072,59,3,1,38521,6392.18,0.16594,5620.42,6551,8,10,19,7066,31455,1147,8,7903,21029
60911072,60,2,1,75183,6073.64,0.0807847,3930.74,28470,18,35,22,4328,70855,1226,12,10023,23954
60911072,61,4,1,21961,4890.16,0.222675,4449.13,2371,7,17,11,5784,16177,985,12,2454,8882
60911072,67,4,1,22249,4598.83,0.206698,4239.39,681,2,16,8,4817,17432,1082,8,3863,9910
60911072,68,4,1,21031,4268.18,0.202947,3485.14,337,0,17,9,3143,17888,1025,9,3604,9861
60911072,76,2,1,77060,14141.9,0.183518,8669.5,2551,34,50,41,3796,73264,3956,23,12040,52766
60911072,89,4,1,24952,4474.9,0.17934,4101.84,2874,4,22,9,6897,18055,1068,10,1886,9648
60911072,92,3,1,28391,5075.15,0.178759,4530.34,3615,9,16,12,2702,25689,2305,9,5135,15229
60911072,99,2,1,30672,5532.53,0.180377,2291.76,1892,8,16,9,6528,24144,2424,7,5743,13677
60911072,127,2,1,33033,5257.27,0.159152,4220.04,704,4,18,12,12064,20969,1154,11,1630,10013
60911072,129,2,1,45809,7252.76,0.158326,5283.83,3301,16,20,14,17944,27865,1041,10,7727,13050
60911072,138,2,1,33681,5680.76,0.168664,4572.83,2235,11,23,17,3184,30497,858,9,7167,24389
60911072,139,2,1,70467,10790.8,0.153133,10346.2,11408,35,33,30,9859,60608,1010,13,29303,47937
60911072,141,2,1,70216,11674.7,0.166268,10626,2563,32,28,23,6752,63464,3138,11,21223,48941
60911072,143,4,1,13640,3183.92,0.233425,1464.66,628,3,5,8,2407,11233,811,7,1093,5352
60911072,147,2,1,147528,19391.9,0.131445,16485.8,11049,40,45,43,13953,133575,1704,30,12414,105329
60911072,160,2,1,54929,10053.1,0.183021,2114.22,9176,8,33,23,2896,52033,1322,12,16383,40824
60911072,161,2,1,117157,14939.5,0.127517,12400.8,9484,24,61,37,13604,103553,1713,22,18510,85163
60911072,162,2,1,38319,5778.6,0.150802,4866.93,2543,8,20,15,4391,33928,3105,9,6504,20838
60911072,176,2,1,54080,8542.17,0.157954,7695.22,5794,12,21,14,4224,49856,2194,11,7966,35562
60911072,181,3,1,38016,7451.84,0.196019,6043.95,4742,10,22,19,2400,35616,1168,10,11808,25328
60911072,184,2,1,70181,7982.63,0.113744,7545.27,2851,28,32,26,5863,64318,3809,12,15350,47879
60911072,186,3,1,29419,7520.84,0.255646,5409.37,3499,6,23,16,7251,22168,1377,12,3437,12387
60911072,191,4,1,43455,7538.24,0.173472,6070.1,1392,9,33,25,14719,28736,1113,8,12022,22142
