UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60910020,160,4,1,85857,7293.81,0.084953,6953.21,8382,15,7,1459,84398,2041,12,17327,63672
60910020,161,4,1,37056,6326.3,0.170723,5856.15,2062,20,13,728,36328,1201,13,11184,22402
60910020,162,4,1,20393,2871.8,0.140823,2340.4,3015,13,8,968,19425,777,7,10264,13323
60910020,176,3,1,121127,18999.9,0.15686,18593.3,4043,52,36,1224,119903,3392,31,35414,88417
60910020,181,4,1,55480,5863.47,0.105686,5089.8,14600,18,13,1192,54288,6560,10,8288,23692
60910020,184,4,1,32608,6682.99,0.204949,5805.1,1720,23,10,975,31633,2657,10,4136,19015
60910020,186,4,1,29360,5853.33,0.199364,5544.87,2230,15,8,1752,27608,1601,9,6399,18369
60910020,191,4,1,22136,3686.43,0.166535,3247.76,798,10,11,5416,16720,1097,8,2031,7902
60910022,22,4,1,14626,3850.34,0.263253,2732.68,785,11,9,4291,10335,817,7,1855,6020
60910022,32,4,1,26465,4079.6,0.154151,3079.85,809,19,21,3872,22593,1508,11,1943,9119
60910022,45,2,1,27124,4621.88,0.170398,2869.91,1248,17,17,5828,21296,642,9,3839,12023
60910022,46,3,1,20588,3955.96,0.192149,2178.31,615,11,11,4739,15849,1169,9,3647,9273
60910022,54,3,1,58647,12287.3,0.209513,11099.3,4481,52,38,12908,45739,1768,23,2711,22943
60910022,58,2,1,44988,7080.46,0.157386,4881.94,3304,28,13,3091,41897,1681,10,14455,31183
60910022,59,2,1,23381,5373.11,0.229807,4605.45,753,18,12,6118,17263,1225,9,3360,10878
60910022,60,2,1,77974,6891.1,0.0883769,5688.05,2256,25,24,3918,74056,2426,14,28960,61285
60910022,61,4,1,27916,7335.61,0.262774,6887.18,2232,26,22,8891,19025,650,8,5823,14400
60910022,67,3,1,35709,8208.63,0.229876,4970.73,2557,23,19,4809,30900,666,8,8711,14591
60910022,68,3,1,23389,4398,0.188037,3979.22,919,14,12,3941,19448,2762,9,2256,9653
60910022,76,2,1,75093,11217.1,0.149376,10212.7,2472,43,29,8076,67017,1978,13,12600,49422
60910022,89,2,1,52855,7314.12,0.138381,3698.54,6971,26,16,15509,37346,882,10,10231,21342
60910022,92,4,1,22369,5159.73,0.230664,2825.34,464,23,13,6323,16046,609,9,2951,9663
60910022,99,2,1,54266,7661.13,0.141177,5675.95,4347,33,24,4562,49704,1655,19,6783,32890
60910022,127,2,1,71154,8461.99,0.118925,6826.89,4056,23,19,13443,57711,1064,13,9392,38075
60910022,129,2,1,43315,6775.67,0.156428,3092.92,1728,25,19,4387,38928,2137,11,12503,29568
60910022,138,4,1,29824,5524.94,0.185252,4360.38,2248,22,20,2048,27776,1824,11,7232,18366
60910022,139,2,1,42029,7703.69,0.183295,4191.33,1328,22,20,8148,33881,2290,14,7597,22060
60910022,141,2,1,29917,5589.17,0.186823,4521.04,4357,21,15,4122,25795,873,9,10647,20044
60910022,143,4,1,18472,3497.27,0.189328,1142.39,1328,13,9,3336,15136,1138,8,4080,10107
60910022,147,2,1,81857,13866.7,0.169402,13025.3,6008,31,30,11680,70177,4053,20,11558,50484
60910022,160,2,1,77944,10835.5,0.139016,9188.59,3578,26,21,2434,75510,2313,15,17272,59757
60910022,161,2,1,138968,12492.9,0.0898977,10827.5,6288,49,29,9033,129935,3322,20,31206,107221
60910022,162,4,1,18230,3645.31,0.199962,2940.91,424,13,10,3813,14417,945,8,3680,8770
60910022,176,2,1,53118,6909.03,0.13007,5946.71,3368,27,20,3404,49714,3346,13,15006,29194
60910022,181,2,1,32436,5794.59,0.178647,780.334,2244,21,17,3660,28776,818,9,5805,18146
60910022,184,2,1,33178,5292.49,0.159518,4063.62,2611,20,19,3331,29847,1050,9,4494,19468
60910022,186,2,1,34539,8172.95,0.23663,2817.56,2742,26,21,5835,28704,1255,13,6295,20776
60910022,191,3,1,58366,7441.42,0.127496,6235,4678,32,13,4686,53680,1328,13,11959,41951
60910037,22,4,1,19481,3357.07,0.172325,2849.94,2312,12,6,3338,16143,1130,7,1551,6600
60910037,32,3,1,24595,3242.02,0.131816,2068.87,2085,10,9,2843,21752,1097,8,3664,10770
60910037,45,2,1,55881,3997.34,0.0715331,2437.35,11384,15,9,2960,52921,1368,11,18838,42121
60910037,46,4,1,15725,3196.85,0.203297,2654.12,433,6,8,3317,12408,977,7,1544,6447
60910037,54,2,1,29626,4461.16,0.150582,3531.73,1842,10,7,9304,20322,746,9,3319,11723
60910037,58,2,1,102465,6373.2,0.0621988,5480.45,17583,19,11,7216,95249,1962,10,35582,76470
60910037,59,2,1,108729,6653.77,0.061196,5386.27,46005,23,16,12196,96533,1352,10,51407,88047
60910037,60,2,1,42185,5634.74,0.133572,5210.59,9856,8,12,17761,24424,1385,11,2783,15812
60910037,61,2,1,90865,8834.32,0.0972247,8424.69,4016,31,26,18272,72593,1074,14,32088,60844
60910037,67,2,1,43071,5971.49,0.138643,4810.46,3220,15,14,9952,33119,2129,11,6278,16459
60910037,68,2,1,64371,6476.97,0.100619,5904.6,16592,17,9,5310,59061,1136,12,18438,47510
60910037,76,2,1,47436,7203.89,0.151866,5096.2,2318,15,12,7732,39704,992,13,6319,29738
60910037,89,2,1,143863,13429.2,0.0933474,12836.4,9216,39,40,1441,142422,1705,18,37911,124555
